Date,Open,High,Low,Close,Adj Close,Volume
2013-05-17,47.000000,52.070000,44.000000,50.750000,50.750000,8408700
2013-05-20,51.400002,59.599998,50.700001,53.450001,53.450001,2711400
2013-05-21,55.110001,59.000000,52.500000,53.250000,53.250000,727200
2013-05-22,55.110001,55.119999,47.450001,50.259998,50.259998,634900
2013-05-23,48.450001,54.500000,48.450001,52.919998,52.919998,679300
2013-05-24,53.099998,53.480000,52.060001,52.490002,52.490002,173800
2013-05-28,53.450001,53.910000,50.000000,50.669998,50.669998,351600
2013-05-29,50.650002,50.650002,49.090000,50.299999,50.299999,269400
2013-05-30,50.570000,51.500000,50.000000,51.110001,51.110001,143800
2013-05-31,50.740002,51.990002,50.419998,51.099998,51.099998,180500
2013-06-03,51.490002,51.490002,50.009998,50.340000,50.340000,110400
2013-06-04,50.740002,50.740002,48.310001,48.529999,48.529999,255100
2013-06-05,48.500000,49.980000,48.270000,49.610001,49.610001,212000
2013-06-06,49.869999,53.490002,49.380001,53.020000,53.020000,367500
2013-06-07,53.000000,56.540001,52.189999,56.209999,56.209999,464100
2013-06-10,56.680000,58.200001,55.779999,58.110001,58.110001,375200
2013-06-11,56.970001,57.240002,52.099998,53.049999,53.049999,348800
2013-06-12,54.549999,56.139999,53.900002,55.810001,55.810001,328000
2013-06-13,56.240002,58.590000,54.349998,56.970001,56.970001,384000
2013-06-14,57.360001,57.750000,55.000000,55.470001,55.470001,348200
2013-06-17,55.750000,56.700001,54.310001,54.880001,54.880001,169000
2013-06-18,54.810001,54.959999,52.590000,54.410000,54.410000,283500
2013-06-19,54.000000,54.880001,52.750000,53.910000,53.910000,173700
2013-06-20,54.270000,55.970001,53.049999,55.400002,55.400002,203200
2013-06-21,55.380001,57.209999,54.840000,55.270000,55.270000,247600
2013-06-24,55.410000,55.740002,52.599998,54.930000,54.930000,190900
2013-06-25,55.299999,55.299999,53.209999,54.419998,54.419998,104600
2013-06-26,54.770000,57.980000,53.759998,56.680000,56.680000,225500
2013-06-27,56.730000,59.880001,55.360001,56.410000,56.410000,249900
2013-06-28,56.000000,56.540001,54.560001,55.419998,55.419998,486700
2013-07-01,57.360001,59.000000,55.750000,58.799999,58.799999,129100
2013-07-02,58.889999,59.830002,57.090000,58.250000,58.250000,95600
2013-07-03,58.590000,61.450001,57.860001,60.099998,60.099998,132000
2013-07-05,61.310001,62.970001,60.750000,62.860001,62.860001,265200
2013-07-08,63.000000,63.000000,60.500000,60.990002,60.990002,107700
2013-07-09,60.730000,61.639999,57.000000,57.139999,57.139999,345500
2013-07-10,57.250000,58.520000,56.509998,56.599998,56.599998,179500
2013-07-11,57.000000,57.650002,55.340000,55.759998,55.759998,202300
2013-07-12,55.750000,56.000000,53.470001,53.500000,53.500000,284300
2013-07-15,53.869999,54.820000,53.200001,53.820000,53.820000,239000
2013-07-16,54.070000,56.799999,53.880001,55.180000,55.180000,176300
2013-07-17,55.150002,56.869999,55.119999,56.669998,56.669998,151900
2013-07-18,57.000000,57.250000,55.049999,55.220001,55.220001,80700
2013-07-19,55.680000,55.680000,53.770000,53.810001,53.810001,115200
2013-07-22,54.110001,54.310001,52.610001,53.009998,53.009998,153200
2013-07-23,53.500000,53.840000,51.990002,52.070000,52.070000,122100
2013-07-24,52.389999,53.770000,52.360001,53.590000,53.590000,204100
2013-07-25,54.480000,55.419998,53.709999,54.500000,54.500000,174000
2013-07-26,54.930000,54.930000,53.419998,53.750000,53.750000,43000
2013-07-29,54.250000,54.250000,53.400002,53.480000,53.480000,10000
2013-07-30,53.560001,54.240002,53.500000,53.810001,53.810001,116300
2013-07-31,54.000000,55.750000,54.000000,55.400002,55.400002,211100
2013-08-01,56.660000,57.930000,55.939999,57.619999,57.619999,168100
2013-08-02,57.919998,59.970001,57.090000,59.849998,59.849998,178000
